activity_id,country_code,percentage
BE-BCE_KBO-0546740696-prg2022-6-ECM-53,CD,
BE-BCE_KBO-0546740696-prg2022-6-ECM-59,CD,
BE-BCE_KBO-0546740696-prg2022-1-PRDPFS-70,CD,
BE-BCE_KBO-0546740696-PG2017-2021_CD-105,CD,
BE-BCE_KBO-0546740696-PG2017-2021_CD-143,CD,
DE-1-202275923,CD,100.0
GB-CHC-1113101-AG,UG,48.75
GB-CHC-1113101-AG,GH,11.25
GB-CHC-1113101-AG,KE,1.25
GB-CHC-1113101-AG,TZ,8.75
GB-CHC-1113101-AG,MM,15.0
GB-CHC-1113101-AG,ZM,15.0
GB-COH-1858644-GB-1-205242,CM,16.66
GB-COH-1858644-GB-1-205242,TD,16.66
GB-COH-1858644-GB-1-205242,CI,16.67
GB-COH-1858644-GB-1-205242,ML,16.67
GB-COH-1858644-GB-1-205242,NE,16.67
GB-COH-1858644-GB-1-205242,UG,16.67
GB-COH-02651349-21886-001,IN,20.0
GB-COH-02651349-21886-001,KE,20.0
GB-COH-02651349-21886-001,UG,20.0
GB-COH-02651349-21886-001,NG,20.0
GB-COH-02651349-21886-001,TZ,20.0
XM-DAC-928-RW-2026-27-04.002.AF01.RWA01,RW,100.0
DAC-1601-INV-090471,KE,14.0
DAC-1601-INV-090471,TZ,86.0
CH-4-2022-2022002358,TZ,
CH-4-2023-2023001740,TZ,
GB-COH-213890-82606189,ET,100.0
GB-COH-213890-82606190,ET,100.0
SE-ON-802497-7434-Project-AF2,TZ,100.0
SE-ON-802497-7434-Project-AF4,TZ,100.0
US-EIN-13-5660870-DF228,SS,100.0
CA-3-P011782002,BD,3.33
CA-3-P011782002,CD,13.6
CA-3-P011782002,CI,12.46
CA-3-P011782002,CO,3.4
CA-3-P011782002,GH,10.2
CA-3-P011782002,HT,4.53
CA-3-P011782002,JM,1.7
CA-3-P011782002,MZ,4.53
CA-3-P011782002,NG,17.0
CA-3-P011782002,SN,4.53
CA-3-P011782002,TZ,4.55
NL-KVK-41207580-NL-KVK-41207580-4001,KE,74.0
